doi,family,title,year,score,is_benchmark,is_oa_heuristic,has_table,has_sigma,has_ea,has_impedance
10.3390/molecules26020299,perovskite,Syntheses and Characterization of Novel Perovskite-Type LaScO3-Based Lithium Ionic Conductors,2021,10.0,True,True,,,,
10.3390/batteries10010021,halide,In Situ/Operando Techniques for Unraveling Mechanisms of Ionic Transport in Solid-State Lithium Indium Halide Electrolyte,2024,10.0,True,True,,,,
10.3390/batteries10010021,halide,In Situ/Operando Techniques for Unraveling Mechanisms of Ionic Transport in Solid-State Lithium Indium Halide Electrolyte,2024,10.0,True,True,,,,
10.3390/ma16072751,argyrodite,Sn-Substituted Argyrodite Li6PS5Cl Solid Electrolyte for Improving Interfacial and Atmospheric Stability,2023,10.0,True,True,,,,
10.3390/ecp2022-12627,nasicon,Li1+yTi2-x-yGexAly(PO4)3 NASICON-Type Electrolytes with Enhanced Conductivity for Solid-State Lithium-Ion Batteries,2022,10.0,True,True,,,,
10.3390/ecp2022-12617,nasicon,Synthesis and Ionic Conductivity of Lithium Titanium Phosphate with NASICON-Type Structure Doping with Zirconium and Aluminum,2022,10.0,True,True,,,,
10.3390/inorganics11010017,borohydride,"Synthesis, Structure and Mg2+ Ionic Conductivity of Isopropylamine Magnesium Borohydride",2022,10.0,True,True,,,,
10.1080/17436753.2023.2265193,garnet,Enhanced densification and ionic conductivity of LLZO by flash sintering,2023,10.0,True,True,,,,
10.1038/s43246-024-00601-5,borohydride,Nanoconfinement of an ammine magnesium borohydride composite electrolyte in a mesoporous silica scaffold,2024,10.0,True,True,,,,
10.3389/fchem.2021.744417,antiperovskite,Li-Rich Antiperovskite/Nitrile Butadiene Rubber Composite Electrolyte for Sheet-Type Solid-State Lithium Metal Battery,2021,10.0,True,True,,,,
10.3390/batteries9100503,argyrodite,New Insights of Infiltration Process of Argyrodite Li6PS5Cl Solid Electrolyte into Conventional Lithium-Ion Electrodes for Solid-State Batteries,2023,9.0,True,True,,,,
10.1038/s41467-019-09061-9,hydride,A complex hydride lithium superionic conductor for high-energy-density all-solid-state lithium metal batteries,2019,9.0,True,True,,,,
10.1038/s41467-021-24697-2,borohydride,A cost-effective and humidity-tolerant chloride solid electrolyte for lithium batteries,2021,9.0,True,True,,,,
10.1038/s41467-023-42385-1,antiperovskite,Boosting lithium ion conductivity of antiperovskite solid electrolyte by potassium ions substitution for cation clusters,2023,9.0,True,True,,,,
10.3390/molecules29081759,oxide,Covalent Organic Framework Enhanced Solid Polymer Electrolyte for Lithium Metal Batteries,2024,9.0,True,True,,,,
10.3389/fmats.2022.864478,oxide,A Cross-Linked Poly(Ethylene Oxide)-Based Electrolyte for All-Solid-State Lithium Metal Batteries With Long Cycling Stability,2022,9.0,True,True,,,,
10.3390/nano12172946,garnet,Synergetic Effect of Li-Ion Concentration and Triple Doping on Ionic Conductivity of Li7La3Zr2O12 Solid Electrolyte,2022,9.0,True,True,,,,
10.1038/s43246-026-01164-3,perovskite,Engineering ionic pathways by phonon-structure connection in perovskite solid electrolyte Li0.29La0.57TiO3,2026,9.0,True,True,,,,
10.3390/batteries8100173,nasicon,Effect of Lithium Salt Concentration on Materials Characteristics and Electrochemical Performance of Hybrid Inorganic/Polymer Solid Electrolyte for Solid-State Lithium-Ion Batteries,2022,9.0,True,True,,,,
10.3390/batteries8100173,nasicon,Effect of Lithium Salt Concentration on Materials Characteristics and Electrochemical Performance of Hybrid Inorganic/Polymer Solid Electrolyte for Solid-State Lithium-Ion Batteries,2022,9.0,True,True,,,,
10.1038/s41467-026-69737-x,halide,Polyanion-stabilized amorphous halide electrolytes with low lithium content for all-solid-state lithium batteries,2026,9.0,True,True,,,,
10.3389/fenrg.2020.606494,argyrodite,High-Performance All-Solid-State Lithium–Sulfur Batteries Enabled by Slurry-Coated Li6PS5Cl/S/C Composite Electrodes,2021,9.0,True,True,,,,
10.3390/batteries7040077,argyrodite,Preparation of Composite Electrodes for All-Solid-State Batteries Based on Sulfide Electrolytes: An Electrochemical Point of View,2021,9.0,True,True,,,,
10.1038/s41467-023-37564-z,borohydride,Realizing high-capacity all-solid-state lithium-sulfur batteries using a low-density inorganic solid-state electrolyte,2023,9.0,True,True,,,,
10.3389/fchem.2020.562549,antiperovskite,Lithium and Chlorine-Rich Preparation of Mechanochemically Activated Antiperovskite Composites for Solid-State Batteries,2020,9.0,True,True,,,,
10.3390/nano13071294,polymer_composite,In Situ Nano-SiO2 Electrospun Polyethylene-Oxide-Based Nano-Fiber Composite Solid Polymer Electrolyte for High-Performance Lithium-Ion Batteries,2023,9.0,True,True,,,,
10.1038/s41467-023-35857-x,sulfide,Tailoring polymer electrolyte ionic conductivity for production of low- temperature operating quasi-all-solid-state lithium metal batteries,2023,9.0,True,True,,,,
10.3390/polym12091889,sulfide,Promotion of Ionic Conductivity of PEO-Based Solid Electrolyte Using Ultrasonic Vibration,2020,9.0,True,True,,,,
10.3390/polym12091889,oxide,Promotion of Ionic Conductivity of PEO-Based Solid Electrolyte Using Ultrasonic Vibration,2020,9.0,True,True,,,,
10.1038/s41467-025-58108-7,oxide,Disorder-driven sintering-free garnet-type solid electrolytes,2025,9.0,True,True,,,,
10.3390/batteries9110526,oxide,Optimizing Li Ion Transport in a Garnet-Type Solid Electrolyte via a Grain Boundary Design,2023,9.0,True,True,,,,
10.3390/batteries9090430,oxide,Predicting Ionic Conductivity in Thin Films of Garnet Electrolytes Using Machine Learning,2023,9.0,True,True,,,,
10.3390/batteries11070268,garnet,Surface Fluorination for the Stabilization in Air of Garnet-Type Oxide Solid Electrolyte for Lithium Ion Battery,2025,9.0,True,True,,,,
10.3390/molecules30092028,garnet,Preparation and Electrochemical Characteristics of the Co-Doped Li7La3Zr2O12 Solid Electrolyte with Fe3+ and Bi3+,2025,9.0,True,True,,,,
10.3390/batteries8100158,garnet,Effect of Ga2O3 Addition on the Properties of Garnet-Type Ta-Doped Li7La3Zr2O12 Solid Electrolyte,2022,9.0,True,True,,,,
10.3389/fchem.2022.966274,perovskite,Engineered interfaces between perovskite La2/3xLi3xTiO3 electrolyte and Li metal for solid-state batteries,2022,9.0,True,True,,,,
10.3390/polym16091251,nasicon,Metal-Doped NASICON/Polymer Composite Solid Electrolyte for Lithium Titania Anode in Lithium-Ion Batteries,2024,9.0,True,True,,,,
10.3390/membranes13020201,nasicon,Sodium Super Ionic Conductor-Type Hybrid Electrolytes for High Performance Lithium Metal Batteries,2023,9.0,True,True,,,,
10.3390/nano15010042,nasicon,Spray-Flame Synthesis (SFS) and Characterization of Li1.3Al0.3−xYxTi1.7(PO4)3 [LA(Y)TP] Solid Electrolytes,2024,9.0,True,True,,,,
10.3390/membranes13020201,nasicon,Sodium Super Ionic Conductor-Type Hybrid Electrolytes for High Performance Lithium Metal Batteries,2023,9.0,True,True,,,,
10.3390/ma13071719,nasicon,Rhombohedral Li1+xYxZr2-x(PO4)3 Solid Electrolyte Prepared by Hot-Pressing for All-Solid-State Li-Metal Batteries,2020,9.0,True,True,,,,
10.3390/batteries12010021,halide,Application of Li3InCl6-PEO Composite Electrolyte in All-Solid-State Battery,2026,9.0,True,True,,,,
10.3390/molecules27072187,hydride,Effects of LiBF4 Addition on the Lithium-Ion Conductivity of LiBH4,2022,9.0,True,True,,,,
10.3390/molecules27072187,borohydride,Effects of LiBF4 Addition on the Lithium-Ion Conductivity of LiBH4,2022,9.0,True,True,,,,
10.1038/s41467-023-35857-x,borohydride,Tailoring polymer electrolyte ionic conductivity for production of low- temperature operating quasi-all-solid-state lithium metal batteries,2023,9.0,True,True,,,,
10.3390/en17184530,sulfide,Development of Solid-State Lithium-Ion Batteries (LIBs) to Increase Ionic Conductivity through Interactions between Solid Electrolytes and Anode and Cathode Electrodes,2024,9.0,True,True,,,,
10.1038/s43246-024-00595-0,oxide,Universal-neural-network-potential molecular dynamics for lithium metal and garnet-type solid electrolyte interface,2024,9.0,True,True,,,,
10.1038/s41467-022-35287-1,garnet,Unlocking the hidden chemical space in cubic-phase garnet solid electrolyte for efficient quasi-all-solid-state lithium batteries,2022,9.0,True,True,,,,
10.1038/s41467-023-37115-6,perovskite,Atomic-scale origin of the low grain-boundary resistance in perovskite solid electrolyte Li0.375Sr0.4375Ta0.75Zr0.25O3,2023,9.0,True,True,,,,
10.3390/cryst15080707,perovskite,Lithium Lanthanum Titanate (LLTO) Solid Electrolyte with High Ionic Conductivity and Excellent Mechanical Properties Prepared by Aerodynamic Levitation Rapid Solidification,2025,9.0,True,True,,,,
10.3390/molecules26123559,perovskite,Defect Engineering and Anisotropic Modulation of Ionic Transport in Perovskite Solid Electrolyte LixLa(1−x)/3NbO3,2021,9.0,True,True,,,,
10.3390/gels12060534,nasicon,Gel Polymer Electrolyte Membranes via Slit-Coating Technology for High-Energy Lithium Batteries,2026,9.0,True,True,,,,
10.3389/fchem.2021.778057,argyrodite,Ionic and Electronic Conductivities of Lithium Argyrodite Li6PS5Cl Electrolytes Prepared via Wet Milling and Post-Annealing,2021,9.0,True,True,,,,
10.3390/polym13132050,borohydride,Novel Crosslinked Sulfonated PVA/PEO Doped with Phosphated Titanium Oxide Nanotubes as Effective Green Cation Exchange Membrane for Direct Borohydride Fuel Cells,2021,9.0,True,True,,,,
10.1038/s41467-022-35287-1,borohydride,Unlocking the hidden chemical space in cubic-phase garnet solid electrolyte for efficient quasi-all-solid-state lithium batteries,2022,9.0,True,True,,,,
10.1038/s41467-020-20370-2,antiperovskite,Hydride-based antiperovskites with soft anionic sublattices as fast alkali ionic conductors,2021,9.0,True,True,,,,
10.1038/s41467-020-20370-2,antiperovskite,Hydride-based antiperovskites with soft anionic sublattices as fast alkali ionic conductors,2021,9.0,True,True,,,,
10.3390/polym14071274,polymer_composite,High-Content Lithium Aluminum Titanium Phosphate-Based Composite Solid Electrolyte with Poly(ionic liquid) Binder,2022,9.0,True,True,,,,
10.1039/d2ra05782d,nasicon,Polycationic doping of the LATP ceramic electrolyte for Li-ion batteries,2022,8.0,True,False,,,,
10.1149/ma2023-02462267mtgabs,antiperovskite,Non-Arrhenius Ionic Conductivity Behaviour in Antiperovskite Solid Electrolytes for Sodium Metal Batteries,2023,8.0,True,False,,,,
10.1039/d0ta00517g,sulfide,Al–Sc dual-doped LiGe2(PO4)3 – a NASICON-type solid electrolyte with improved ionic conductivity,2020,8.0,True,False,,,,
10.1021/acsami.4c22390,sulfide,Directing Ion Transport and Interfacial Chemistry in Pnictogen-Substituted Thio-LISICONs,2025,8.0,True,False,,,,
10.1149/ma2024-0281069mtgabs,garnet,Evaluation of Oxide|Sulfide Heteroionic Interface Stability with LLZO|Li7P3S11 and LLZO|Li6PS5 Cl As Fundamental Case Studies,2024,8.0,True,False,,,,
10.1016/j.ceramint.2019.11.277,perovskite,"Structure, stability, and ionic conductivity of perovskite Li2x-ySr1-x-yLayTiO3 solid electrolytes",2020,8.0,True,False,,,,
10.1016/J.JPOWSOUR.2018.11.029,sulfide,A lithium argyrodite Li6PS5Cl0.5Br0.5 electrolyte with improved bulk and interfacial conductivity,2019,8.0,True,False,,,,
10.1016/J.CEJ.2019.122419,sulfide,Novel SeS2 doped Li2S-P2S5 solid electrolyte with high ionic conductivity for all-solid-state lithium sulfur batteries,2020,8.0,True,False,,,,
10.1016/j.ssi.2020.115399,sulfide,Increase in ionic conductivity of NASICON-type solid electrolyte Li1.5Al0.5Ti1.5(PO4)3 by Nb2O5 doping,2020,8.0,True,False,,,,
10.1021/acsami.9b14986,sulfide,A composite NASICON (Na3Zr2Si2PO12) Solid-state Electrolyte with Enhanced Na+ Ionic Conductivity: Effect of Liquid Phase Sintering.,2019,8.0,True,False,,,,
10.1021/acsami.2c16776,sulfide,Structure of the Solid-State Electrolyte Li3+2xP1-xAlxS4: Lithium-Ion Transport Properties in Crystalline vs Glassy Phases.,2022,8.0,True,False,,,,
10.1039/d5ta07144e,sulfide,Enabling high-temperature processing of thin film Li-ion batteries using a LISICON based solid-state electrolyte,2026,8.0,True,False,,,,
10.26434/chemrxiv.13140251.v1,sulfide,Two-Dimensional Substitution: Toward a Better Understanding of the Structure–Transport Correlations in the Li-Superionic Thio-LISICONs,2020,8.0,True,False,,,,
10.1016/J.CEJ.2019.122419,oxide,Novel SeS2 doped Li2S-P2S5 solid electrolyte with high ionic conductivity for all-solid-state lithium sulfur batteries,2020,8.0,True,False,,,,
10.1007/s10854-024-12338-5,oxide,Study of Ge-doped garnet type Li7La3Zr2O12 as solid electrolyte for Li-ion battery application,2024,8.0,True,False,,,,
10.37614/2949-1215.2023.14.4.001,nasicon,PROMISING INORGANIC SOLID ELECTROLYTES WITH LITHIUM-ION CONDUCTIVITY,2023,8.0,True,False,,,,
10.1021/acsenergylett.4c00317,halide,Halide Superionic Conductors for All-Solid-State Batteries: Effects of Synthesis and Composition on Lithium-Ion Conductivity,2024,8.0,True,False,,,,
10.1021/acsenergylett.4c00317,halide,Halide Superionic Conductors for All-Solid-State Batteries: Effects of Synthesis and Composition on Lithium-Ion Conductivity,2024,8.0,True,False,,,,
10.1021/acs.inorgchem.6c00246,halide,Enhancing Ionic Conductivity in Lithium Tetrahaloaluminates via a Mixed-Halide Strategy.,2026,8.0,True,False,,,,
10.1149/ma2024-015720mtgabs,antiperovskite,Developing High-Purity Sodium Oxychloride Solid-State Electrolyte for Sodium-Ion Batteries,2024,8.0,True,False,,,,
10.1149/ma2023-0161008mtgabs,antiperovskite,Synthesis and Thermal Evaporation Deposition of Sodium Oxychloride Solid-State Electrolyte for Sodium-Ion Batteries,2023,8.0,True,False,,,,
10.1016/j.ssi.2019.115089,oxide,AC conductivity studies of polyethylene oxide-garnet-type Li7La3Zr2O12 hybrid composite solid polymer electrolyte films,2019,8.0,True,False,,,,
10.1002/smtd.202300232,oxide,Uniform Densification of Garnet Electrolyte for Solid‐State Lithium Batteries,2023,8.0,True,False,,,,
10.1016/J.SSI.2020.115427,oxide,Effects of a dual doping strategy on the structure and ionic conductivity of garnet-type electrolyte,2020,8.0,True,False,,,,
10.20944/preprints201912.0307.v1,garnet,Submicron Sized Nb Doped Lithium Garnet for High Ionic Conductivity Solid Electrolyte and Performance of All Solid-State Lithium Battery,2019,8.0,True,False,,,,
10.7868/s3034560x25060052,nasicon,Synthesis of Li<SUB>1.3</SUB>Al<SUB>0.3</SUB>Ti<SUB>1.7</SUB>(PO<SUB>4</SUB>)<SUB>3</SUB> solid electrolyte from oxalate precursor,2025,8.0,True,False,,,,
10.1149/ma2024-0281056mtgabs,antiperovskite,Ionic Conductivity Transitions in Sodium Antiperovskite Ionic Conductors,2024,8.0,True,False,,,,
10.1021/acsaem.3c02652,sulfide,Reducing the Defect Formation Energy by Aliovalent Sn(+IV) and Isovalent P(+V) Substitution in Li3SbS4 Promotes Li+ Transport,2024,8.0,True,False,,,,
10.1016/J.CERAMINT.2019.06.061,garnet,Effect of sintering process on the microstructure and ionic conductivity of Li7–La3Zr2–Ta O12 ceramics,2019,8.0,True,False,,,,
10.37614/2949-1215.2025.16.2.020,perovskite,"ON THE SYNTHESIS OF Li1,3Al0,3Ti1,7(PO4)3 LITHIUM-ION CONDUCTOR BASED ON TITANIUM DIOXIDE OBTAINED FROM PEROVSKITE",2025,8.0,True,False,,,,
10.1038/s41467-022-34855-9,borohydride,Effect of current density on the solid electrolyte interphase formation at the lithium∣Li6PS5Cl interface,2022,8.0,True,True,,,,
10.1149/ma2024-02483477mtgabs,sulfide,(Invited) Synthesis of LiAlO2 Polymorphs Under High Pressure and Their Lithium-Ion Conductivity,2024,8.0,True,False,,,,
10.1002/smll.202309724,oxide,Designing Compatible Ceramic/Polymer Composite Solid-State Electrolyte for Stable Silicon Nanosheet Anodes.,2024,8.0,True,False,,,,
10.1002/smll.202309724,polymer_composite,Designing Compatible Ceramic/Polymer Composite Solid-State Electrolyte for Stable Silicon Nanosheet Anodes.,2024,8.0,True,False,,,,
10.1021/acs.langmuir.1c03432,oxide,Graphene Oxide Aerogel Foam Constructed All-Solid Electrolyte Membranes for Lithium Batteries.,2022,7.0,True,False,,,,
10.1021/acsami.0c11683,sulfide,Silicon-Doped Argyrodite Solid Electrolyte Li6PS5I with Improved Ionic Conductivity and Interfacial Compatibility for High-Performance All-Solid-State Lithium Batteries.,2020,7.0,True,False,,,,
10.1002/adma.202001259,sulfide,"Thiol‐Branched Solid Polymer Electrolyte Featuring High Strength, Toughness, and Lithium Ionic Conductivity for Lithium‐Metal Batteries",2020,7.0,True,False,,,,
10.1149/ma2024-027857mtgabs,garnet,Plating Behavior and Charge Transfer Kinetics of the Amorphous-LLZO Modified Solid Electrolyte for Lithium Solid State Batteries,2024,7.0,True,False,,,,
10.5155/eurjchem.17.2.125-137.2759,garnet,"Toward an improved solid-state Li electrolyte: A first-principles investigation of the structure, Li-ion migration pathways, and ionic conductivity of Li7La3Zr2O12",2026,7.0,True,False,,,,
10.5155/eurjchem.17.2.125-137.2759,garnet,"Toward an improved solid-state Li electrolyte: A first-principles investigation of the structure, Li-ion migration pathways, and ionic conductivity of Li7La3Zr2O12",2026,7.0,True,False,,,,
10.1016/j.matpr.2019.12.279,nasicon,"Li1+xAlxTi2−x (PO4)3, NASICON-type solid electrolyte fabrication with different methods",2020,7.0,True,False,,,,
10.1016/j.matpr.2019.12.279,nasicon,"Li1+xAlxTi2−x (PO4)3, NASICON-type solid electrolyte fabrication with different methods",2020,7.0,True,False,,,,
10.1021/acsami.0c11683,argyrodite,Silicon-Doped Argyrodite Solid Electrolyte Li6PS5I with Improved Ionic Conductivity and Interfacial Compatibility for High-Performance All-Solid-State Lithium Batteries.,2020,7.0,True,False,,,,
10.1021/acsami.0c10361,borohydride,Li-Ion Diffusion in Nanoconfined LiBH4-LiI/Al2O3: From 2D Bulk Transport to 3D Long-Range Interfacial Dynamics,2020,7.0,True,False,,,,
10.1021/acsaem.5c01010,polymer_composite,Ceramic-in-Polymer Composite Solid Electrolyte Enabled by Metal–Sulfur Interactions with Enhanced Li-Ion Conductivity,2025,7.0,True,False,,,,
10.1149/ma2025-01371767mtgabs,polymer_composite,(Invited) metal-Organic Interaction-Driven Fabrication of Ceramic/Polymer Nanocomposites As Solid Electrolyte with Enhanced Li-Ion Conductivity for All-Solid-State Batteries,2025,7.0,True,False,,,,
10.1021/acsami.9b08132,sulfide,Insight into the Microstructure and Ionic Conductivity of Cold Sintered NASICON Solid Electrolyte for Solid-State Batteries.,2019,7.0,True,False,,,,
10.1016/J.JALLCOM.2018.12.183,sulfide,High ionic conductivity Y doped Li1.3Al0.3Ti1.7(PO4)3 solid electrolyte,2019,7.0,True,False,,,,
10.1016/J.JALLCOM.2018.04.333,sulfide,Facile synthesis and electrochemical properties of high lithium ionic conductivity Li1.7Al0.3Ti1.7Si0.4P2.6O12 ceramic solid electrolyte,2018,7.0,True,False,,,,
10.1021/acsami.2c04160,oxide,Influence of Chloride Ion Substitution on Lithium-Ion Conductivity and Electrochemical Stability in a Dual-Halogen Solid-State Electrolyte.,2022,7.0,True,False,,,,
10.1016/J.CERAMINT.2018.09.245,oxide,High densification and Li-ion conductivity of Al-free Li7-La3Zr2-Ta O12 garnet solid electrolyte prepared by using ultrafine powders,2019,7.0,True,False,,,,
10.1002/adfm.202416389,oxide,High‐Entropy Strategy Flattening Lithium Ion Migration Energy Landscape to Enhance the Conductivity of Garnet‐Type Solid‐State Electrolytes,2024,7.0,True,False,,,,
10.1021/acs.chemmater.3c01831,oxide,Clarifying the Dopant Local Structure and Effect on Ionic Conductivity in Garnet Solid-State Electrolytes for Lithium-Ion Batteries,2023,7.0,True,False,,,,
10.1021/acs.chemmater.3c01831,garnet,Clarifying the Dopant Local Structure and Effect on Ionic Conductivity in Garnet Solid-State Electrolytes for Lithium-Ion Batteries,2023,7.0,True,False,,,,
10.1063/5.0123632,garnet,A low-cost Al-doped garnet Li7La3Zr2O12 with high ionic conductivity for high-energy solid-state lithium metal batteries,2022,7.0,True,False,,,,
10.1149/ma2023-022297mtgabs,garnet,Improvement of Ionic Conductivity in Li7La3Zr2O12 (LLZO) Solid Electrolyte By Doping with Aluminum/Tungsten,2023,7.0,True,False,,,,
10.1149/ma2025-023362mtgabs,garnet,Computational Design and Experimental Validation of Entropy-Assisted Llzo Solid Electrolytes for Lithium Metal Batteries,2025,7.0,True,False,,,,
10.1017/S1431927621005559,garnet,Probing Microstructure-Dependent Ionic Conductivity and Stability of Garnet Solid Electrolytes through In Situ TEM with Operando Impedance Spectroscopy,2021,7.0,True,False,,,,
10.1002/ejic.202400137,garnet,Garnet and Li29Zr9Nb3O40 Modified PEO‐based Hybrid Solid Electrolytes for All‐solid‐state Lithium Metal Batteries,2024,7.0,True,False,,,,
10.1007/s11664-026-12871-5,garnet,Impact of Ce Substitution on Structural and Electrochemical Properties of Ga-Doped Garnet Li7La3Zr2O12 Solid Electrolyte,2026,7.0,True,False,,,,
10.1149/ma2023-022297mtgabs,garnet,Improvement of Ionic Conductivity in Li7La3Zr2O12 (LLZO) Solid Electrolyte By Doping with Aluminum/Tungsten,2023,7.0,True,False,,,,
10.1109/ICEPES60647.2024.10653594,garnet,Experimental Analysis of High Conductivity Solid-State Electrolyte Li7La3Zr2O12 (LLZO) for Li-Ion Battery,2024,7.0,True,False,,,,
10.15625/0868-3166/17946,perovskite,CHARACTERIZATION OF STRUCTURE AND Li-IONIC CONDUCTIVITY OF La(2/3−x)Li3xTiO3 CERAMICS PREPARED BY SPARK PLASMA SINTERING,2023,7.0,True,False,,,,
10.1021/acsami.9b08132,nasicon,Insight into the Microstructure and Ionic Conductivity of Cold Sintered NASICON Solid Electrolyte for Solid-State Batteries.,2019,7.0,True,False,,,,
10.1016/j.ceramint.2021.09.091,nasicon,Effect of SnO–P2O5–MgO glass addition on the ionic conductivity of Li1.3Al0.3Ti1.7(PO4)3 solid electrolyte,2022,7.0,True,False,,,,
10.1149/ma2022-012283mtgabs,nasicon,Garnet-Based Composite Cathodes for All-Solid-State Lithium Batteries,2022,7.0,True,False,,,,
10.1016/j.ceramint.2021.09.091,nasicon,Effect of SnO–P2O5–MgO glass addition on the ionic conductivity of Li1.3Al0.3Ti1.7(PO4)3 solid electrolyte,2022,7.0,True,False,,,,
10.1007/s43938-024-00055-8,halide,Halide solid-state electrolyte achieving high ionic conductivity by engineering nanocrystals,2024,7.0,True,False,,,,
10.1149/ma2023-024727mtgabs,halide,"Structural Tuning Strategy to Improve Ionic Conductivity of Eco, Cost-Effective Zr-Based Halide Solid Electrolyte",2023,7.0,True,False,,,,
10.1149/ma2024-01112mtgabs,halide,Sodium Halide-Based Solid Electrolyte with High Ionic Conductivity,2024,7.0,True,False,,,,
10.1021/acs.nanolett.4c05460,halide,"Advanced High-Entropy Halide Solid Electrolytes Enabling High-Voltage, Long-Cycling All-Solid-State Batteries.",2025,7.0,True,False,,,,
10.1002/smll.202502176,halide,Z-Type Interstice Leap Migration Driving High Ionic Conductivity in Monoclinic LiBiBr4 Solid State Electrolyte.,2025,7.0,True,False,,,,
10.1149/ma2024-0281173mtgabs,halide,Phase-Structure-Property Relationships of Halide Coating Materials for Solid Composite Electrodes,2024,7.0,True,False,,,,
10.1149/ma2022-024390mtgabs,halide,Insights into the Crystal Structure of Halide Solid Electrolytes and Li Diffusion,2022,7.0,True,False,,,,
10.1007/s43938-024-00055-8,halide,Halide solid-state electrolyte achieving high ionic conductivity by engineering nanocrystals,2024,7.0,True,False,,,,
10.1149/ma2024-01112mtgabs,halide,Sodium Halide-Based Solid Electrolyte with High Ionic Conductivity,2024,7.0,True,False,,,,
10.1149/ma2023-024727mtgabs,halide,"Structural Tuning Strategy to Improve Ionic Conductivity of Eco, Cost-Effective Zr-Based Halide Solid Electrolyte",2023,7.0,True,False,,,,
10.1038/s44456-026-00009-1,halide,"Influence of pressure on structure, stability and ionic conductivity of lithium argyrodite solid electrolytes",2026,7.0,True,False,,,,
10.1088/1361-648X/ad68b4,halide,High ionic conductivity materials Li3YBr6 and Li3LaBr6 for solid-state batteries: first-principles calculations,2024,7.0,True,False,,,,
10.1002/anie.201814222,halide,Boosting Solid-State Diffusivity and Conductivity in Lithium Superionic Argyrodites by Halide Substitution.,2019,7.0,True,False,,,,
10.1021/acsami.8b15121,argyrodite,High-Conductivity Argyrodite Li6PS5Cl Solid Electrolytes Prepared via Optimized Sintering Processes for All-Solid-State Lithium-Sulfur Batteries.,2018,7.0,True,False,,,,
10.1149/ma2025-016658mtgabs,argyrodite,Hot-Pressing Argyrodites for Improved Ionic Conductivity and Mechanical Properties,2025,7.0,True,False,,,,
10.1002/adfm.202420971,argyrodite,Boosting Ionic Conductivity and Air Stability in Bromide‐Rich Thioarsenate Argyrodite Solid Electrolytes,2025,7.0,True,False,,,,
10.33774/chemrxiv-2021-4dnn0,antiperovskite,A comprehensive investigation of Li-ion conductivity in lithium hydroxy halide antiperovskite solid electrolytes,,7.0,True,False,,,,
10.1016/J.JELECHEM.2021.115477,antiperovskite,Synthesis and electrochemical performance of antiperovskite-like Li3SI solid electrolyte,2021,7.0,True,False,,,,
10.35378/gujs.1589340,polymer_composite,Preparation and Characterisation of LAITP/PVDF Composite Solid Electrolyte for Lithium Battery,2025,7.0,True,False,,,,
10.1149/ma2022-024537mtgabs,sulfide,Development of Argyrodite-Based Sulfide Electrolytes for Next-Generation Solid-State Li Batteries,2022,7.0,True,False,,,,
